Log_ID,User_ID,Log_Date,Activity_Type,Duration_Minutes,Calories_Burned,Steps_Count,Avg_Heart_Rate_BPM,Sleep_Hours,Water_Intake_Liters,Mood_Rating
LOG-501295,USR-2079,2024-01-03,Running,32,674,3390,97,6.2,1.6,4
LOG-502341,USR-2101,2024-01-03,Yoga,106,227,12424,135,5.2,1.3,4
LOG-501988,USR-2182,2024-01-03,Cycling,61,510,1936,88,5.1,2.3,4
LOG-502607,USR-2031,2024-01-03,Gym Workout,87,502,19962,115,7.8,1.1,4
LOG-501492,USR-2115,2024-01-03,Yoga,101,197,11788,150,7.0,3.0,2
LOG-500637,USR-2086,2024-01-03,Running,47,744,5784,97,8.5,1.1,4
LOG-502173,USR-2277,2024-01-03,Yoga,52,193,6574,168,8.8,2.7,5
LOG-502609,USR-2047,2024-01-03,Cycling,30,358,768,89,7.8,1.2,5
LOG-501643,USR-2199,2024-01-04,Cycling,77,405,3028,77,6.0,2.2,2
LOG-502357,USR-2278,2024-01-04,Walking,91,165,5590,162,5.5,3.5,2
LOG-501227,USR-2259,2024-01-04,Gym Workout,69,462,13687,118,5.5,1.8,2
LOG-501975,USR-2056,2024-01-04,Yoga,118,360,8971,96,5.4,2.2,5
LOG-502353,USR-2008,2024-01-04,Running,77,756,11725,171,4.3,1.2,1
LOG-502131,USR-2185,2024-01-04,Walking,18,51,4216,159,4.3,1.2,1
LOG-500388,USR-2059,2024-01-04,Running,52,196,13370,157,8.8,1.9,4
LOG-500897,USR-2036,2024-01-04,Walking,106,499,8579,161,7.4,1.9,5
LOG-502491,USR-2276,2024-01-04,Walking,43,181,11345,151,4.0,2.8,3
LOG-500720,USR-2221,2024-01-04,Swimming,85,525,4663,147,8.8,2.2,4
LOG-502931,USR-2250,2024-01-05,Cycling,42,572,9297,163,6.3,2.1,1
LOG-500018,USR-2272,2024-01-05,Cycling,108,309,12954,152,4.5,0.6,4
LOG-500209,USR-2049,2024-01-05,Cycling,90,818,3115,179,7.3,1.1,4
LOG-501946,USR-2125,2024-01-05,Walking,74,427,3602,131,8.7,2.3,3
LOG-500051,USR-2055,2024-01-05,Running,34,418,11857,88,8.9,0.8,2
LOG-501466,USR-2118,2024-01-05,Cycling,22,822,15209,108,8.5,3.5,2
LOG-500723,USR-2263,2024-01-06,Yoga,34,681,2577,119,6.8,1.8,1
LOG-501700,USR-2173,2024-01-06,Running,68,430,1608,156,5.4,3.7,4
LOG-502072,USR-2187,2024-01-06,Running,92,603,4686,103,4.4,0.7,2
LOG-503381,USR-2124,2024-01-06,Walking,54,436,18111,130,7.8,3.3,1
LOG-502362,USR-2039,2024-01-06,Running,24,308,14832,137,5.1,2.1,1
LOG-500910,USR-2072,2024-01-06,Cycling,97,349,1239,161,5.1,1.1,5
LOG-501490,USR-2192,2024-01-06,Walking,32,438,19985,163,6.7,3.2,1
LOG-501240,USR-2124,2024-01-06,Gym Workout,27,73,1707,83,7.0,2.0,5
LOG-502878,USR-2223,2024-01-06,Gym Workout,25,189,16491,99,8.4,1.9,1
LOG-500125,USR-2114,2024-01-06,Cycling,102,107,12701,165,6.6,1.3,4
LOG-502663,USR-2275,2024-01-06,Yoga,55,122,16838,106,6.2,3.6,4
LOG-503127,USR-2029,2024-01-06,HIIT,27,506,11039,80,5.1,2.5,5
LOG-503475,USR-2090,2024-01-06,Running,21,621,19404,99,8.0,2.5,5
LOG-500621,USR-2204,2024-01-07,Running,40,734,14182,97,7.4,3.1,4
LOG-502338,USR-2227,2024-01-07,Walking,15,832,5681,87,6.8,0.9,5
LOG-500978,USR-2093,2024-01-07,Running,36,565,10784,91,8.5,1.4,2
LOG-500872,USR-2192,2024-01-07,Swimming,67,745,1580,107,7.9,0.8,4
LOG-503298,USR-2044,2024-01-07,HIIT,92,777,17231,132,6.0,2.6,4
LOG-502487,USR-2217,2024-01-07,Swimming,97,715,10787,174,5.1,3.8,3
LOG-500828,USR-2187,2024-01-07,Yoga,103,677,7532,173,4.7,2.8,5
LOG-501628,USR-2216,2024-01-08,Cycling,34,380,15475,117,8.7,2.7,2
LOG-500763,USR-2076,2024-01-08,Swimming,50,834,1594,105,7.3,1.0,2
LOG-501410,USR-2016,2024-01-08,Yoga,45,835,6955,98,6.7,3.3,4
LOG-501303,USR-2092,2024-01-08,Walking,59,786,2224,154,5.3,3.1,3
LOG-500552,USR-2289,2024-01-08,Gym Workout,42,593,7230,70,7.6,1.3,2
LOG-503084,USR-2209,2024-01-08,Swimming,47,841,12530,96,5.0,0.8,5
LOG-501402,USR-2025,2024-01-08,Cycling,58,894,15217,73,6.1,1.9,4
LOG-500103,USR-2095,2024-01-09,Walking,82,294,15586,90,6.3,2.8,3
LOG-500615,USR-2290,2024-01-09,Swimming,42,59,18079,149,4.1,2.7,1
LOG-503044,USR-2162,2024-01-09,Running,23,605,3555,98,8.1,3.6,2
LOG-503469,USR-2121,2024-01-09,Cycling,76,159,10053,93,7.9,1.0,3
LOG-502855,USR-2006,2024-01-09,Running,15,488,1065,129,5.1,2.1,1
LOG-502470,USR-2094,2024-01-09,Walking,27,365,16460,142,7.0,2.4,2
LOG-502234,USR-2234,2024-01-09,Gym Workout,54,348,5357,139,8.5,2.7,5
LOG-502883,USR-2081,2024-01-09,Walking,45,465,18392,116,7.2,4.0,3
LOG-500385,USR-2002,2024-01-09,Cycling,27,623,7363,86,8.0,1.5,4
LOG-502025,USR-2247,2024-01-09,Cycling,28,768,7092,105,8.6,0.5,4
LOG-502752,USR-2018,2024-01-09,Yoga,30,64,6195,110,8.5,2.2,2
LOG-502988,USR-2188,2024-01-10,Running,53,809,19214,133,7.3,2.4,2
LOG-503077,USR-2264,2024-01-10,Walking,51,479,3848,102,7.0,3.8,2
LOG-500909,USR-2038,2024-01-10,Cycling,45,431,7306,151,8.8,2.9,2
LOG-502419,USR-2246,2024-01-10,Gym Workout,36,673,11131,118,6.7,0.9,4
LOG-502365,USR-2099,2024-01-10,Gym Workout,84,553,1111,131,8.0,3.7,5
LOG-500397,USR-2027,2024-01-10,Gym Workout,22,547,18148,153,5.7,3.2,4
LOG-502959,USR-2251,2024-01-10,Yoga,72,659,3610,155,5.3,2.6,3
LOG-502293,USR-2114,2024-01-10,Walking,23,698,8618,117,6.6,0.8,2
LOG-502834,USR-2284,2024-01-10,Walking,79,466,19658,162,7.2,1.5,5
LOG-500961,USR-2269,2024-01-10,Gym Workout,102,240,17708,74,7.3,3.9,1
LOG-501759,USR-2128,2024-01-10,HIIT,88,99,17294,111,7.7,2.3,3
LOG-501897,USR-2179,2024-01-11,Swimming,115,57,5058,83,8.4,3.8,1
LOG-500131,USR-2142,2024-01-11,Swimming,34,471,16442,75,8.5,2.4,5
LOG-502224,USR-2011,2024-01-11,Running,40,406,4887,100,8.4,3.6,5
LOG-500882,USR-2275,2024-01-11,Yoga,92,169,14888,74,4.9,2.2,3
LOG-500482,USR-2041,2024-01-11,Gym Workout,56,414,19289,125,6.2,3.3,2
LOG-500221,USR-2144,2024-01-11,Gym Workout,87,875,1193,136,4.0,1.9,4
LOG-503018,USR-2009,2024-01-11,Swimming,40,453,6872,172,8.3,3.7,2
LOG-502920,USR-2036,2024-01-11,Cycling,40,248,7773,114,7.7,1.9,3
LOG-500036,USR-2263,2024-01-11,Yoga,23,240,11282,75,7.7,3.2,5
LOG-503243,USR-2047,2024-01-11,Gym Workout,52,240,7432,90,7.7,1.5,4
LOG-501107,USR-2230,2024-01-11,Running,63,560,7152,70,8.5,1.2,2
LOG-501677,USR-2001,2024-01-11,Swimming,63,786,8587,116,7.4,2.2,3
LOG-500370,USR-2060,2024-01-12,HIIT,27,144,16416,169,6.8,3.5,5
LOG-503185,USR-2009,2024-01-12,HIIT,14,345,4820,144,6.6,3.9,4
LOG-503013,USR-2222,2024-01-12,Walking,101,236,5584,73,5.0,2.3,5
LOG-502433,USR-2090,2024-01-12,Gym Workout,54,472,14480,172,5.9,1.8,3
LOG-500062,USR-2220,2024-01-12,Swimming,118,718,1826,104,6.8,2.7,1
LOG-500063,USR-2108,2024-01-12,Running,86,394,9593,85,5.0,2.8,5
LOG-503338,USR-2182,2024-01-12,Walking,38,463,6259,166,8.7,2.8,2
LOG-500573,USR-2225,2024-01-12,HIIT,33,716,1210,109,7.0,1.6,1
LOG-502376,USR-2164,2024-01-12,Swimming,94,682,6558,144,4.4,2.5,3
LOG-502865,USR-2276,2024-01-13,Gym Workout,18,582,13427,147,6.4,3.4,2
LOG-502158,USR-2118,2024-01-13,Gym Workout,78,412,11116,86,8.7,2.3,3
LOG-500401,USR-2243,2024-01-13,Yoga,92,454,15721,111,5.6,1.9,2
LOG-501496,USR-2014,2024-01-13,HIIT,69,817,1611,153,6.6,1.0,2
LOG-503357,USR-2057,2024-01-13,Gym Workout,62,587,6445,171,7.4,0.9,1
LOG-502563,USR-2124,2024-01-13,Cycling,66,512,11266,109,4.7,2.9,5
LOG-500998,USR-2214,2024-01-13,Swimming,52,94,981,102,4.6,3.4,1
LOG-501427,USR-2116,2024-01-13,Cycling,49,485,4650,114,7.3,2.6,1
LOG-501019,USR-2229,2024-01-13,Gym Workout,98,371,10006,128,5.0,2.2,3
LOG-500448,USR-2047,2024-01-13,Yoga,18,154,14768,148,8.3,3.2,2
LOG-502112,USR-2184,2024-01-13,Walking,56,461,6151,161,8.6,2.5,5
LOG-502516,USR-2142,2024-01-13,Swimming,58,628,12665,124,4.6,3.5,1
LOG-500354,USR-2038,2024-01-14,Cycling,51,106,1856,151,4.7,3.8,2
LOG-503491,USR-2200,2024-01-14,Yoga,67,361,12048,80,5.2,3.9,5
LOG-501993,USR-2001,2024-01-14,Gym Workout,96,515,8277,76,8.3,1.9,1
LOG-503050,USR-2148,2024-01-14,Swimming,95,732,9871,104,7.6,2.4,2
LOG-503467,USR-2139,2024-01-14,Swimming,67,296,4665,125,7.5,1.6,2
LOG-500195,USR-2292,2024-01-14,HIIT,63,381,4036,128,7.3,2.4,4
LOG-502938,USR-2152,2024-01-14,Yoga,114,541,16977,153,7.7,2.4,5
LOG-502849,USR-2285,2024-01-14,Running,67,110,4867,126,6.2,3.9,1
LOG-501277,USR-2115,2024-01-14,Swimming,28,344,8859,127,4.5,0.8,1
LOG-503076,USR-2267,2024-01-15,HIIT,100,763,17820,85,4.7,1.0,5
LOG-503107,USR-2126,2024-01-15,Gym Workout,107,409,16022,168,7.0,1.1,1
LOG-501285,USR-2134,2024-01-15,Running,65,374,10230,125,4.5,0.6,3
LOG-501911,USR-2178,2024-01-15,Walking,56,495,5070,126,9.0,3.3,4
LOG-500931,USR-2237,2024-01-15,HIIT,87,394,17679,78,8.6,3.0,5
LOG-501582,USR-2278,2024-01-15,Running,115,399,10416,85,7.8,3.3,1
LOG-503336,USR-2157,2024-01-15,Running,55,858,7715,128,5.6,0.7,2
LOG-500750,USR-2289,2024-01-15,Cycling,53,688,9861,138,4.7,1.4,1
LOG-502686,USR-2092,2024-01-15,HIIT,104,868,14489,131,5.1,2.6,3
LOG-501999,USR-2217,2024-01-15,Swimming,16,179,9010,120,8.0,3.8,3
LOG-501722,USR-2059,2024-01-15,Swimming,31,267,1981,159,7.7,3.4,4
LOG-500767,USR-2216,2024-01-16,Gym Workout,117,329,16191,115,7.9,0.6,2
LOG-503015,USR-2091,2024-01-16,Swimming,19,215,12425,104,7.3,3.5,2
LOG-503120,USR-2288,2024-01-16,Cycling,108,641,568,171,5.9,1.8,2
LOG-502704,USR-2016,2024-01-16,Gym Workout,24,704,16256,145,6.7,1.5,4
LOG-500674,USR-2070,2024-01-16,HIIT,96,123,11110,142,7.4,1.6,4
LOG-501924,USR-2112,2024-01-16,HIIT,100,781,15433,110,8.2,3.7,1
LOG-500962,USR-2139,2024-01-16,Cycling,103,617,8151,92,6.6,2.3,2
LOG-502617,USR-2290,2024-01-16,Cycling,108,164,10222,79,4.3,2.6,4
LOG-502279,USR-2037,2024-01-16,Swimming,29,626,18267,101,4.2,3.1,4
LOG-503403,USR-2075,2024-01-16,Gym Workout,56,566,14338,150,8.0,2.0,3
LOG-502817,USR-2184,2024-01-16,HIIT,112,645,19434,128,7.8,3.8,3
LOG-500632,USR-2241,2024-01-16,Running,117,778,5719,132,6.8,3.1,2
LOG-500608,USR-2185,2024-01-17,Gym Workout,14,496,16088,168,6.4,0.7,5
LOG-502047,USR-2191,2024-01-17,Gym Workout,89,881,10441,155,6.4,0.6,1
LOG-501601,USR-2067,2024-01-17,Swimming,52,416,16415,175,7.5,1.0,5
LOG-500368,USR-2037,2024-01-17,Cycling,53,424,13353,72,5.5,2.0,5
LOG-501827,USR-2274,2024-01-17,HIIT,113,191,7767,104,7.6,1.2,2
LOG-503463,USR-2061,2024-01-17,Walking,94,436,15154,140,6.8,0.7,5
LOG-500170,USR-2099,2024-01-17,Yoga,51,819,1215,144,6.6,1.5,5
LOG-500147,USR-2221,2024-01-17,Gym Workout,116,100,14751,174,4.2,1.8,5
LOG-500167,USR-2091,2024-01-17,Running,113,806,13994,154,5.2,0.6,4
LOG-501831,USR-2019,2024-01-17,HIIT,23,380,7162,129,5.0,3.9,4
LOG-501076,USR-2143,2024-01-17,Yoga,23,217,5490,91,6.9,2.5,1
LOG-502479,USR-2191,2024-01-17,Running,100,332,5539,113,7.3,3.2,2
LOG-502128,USR-2063,2024-01-18,Walking,109,866,10281,112,7.0,3.8,3
LOG-501631,USR-2155,2024-01-18,Gym Workout,106,754,19548,87,5.0,2.2,5
LOG-501423,USR-2292,2024-01-18,Running,109,871,2392,136,4.5,2.3,3
LOG-501183,USR-2148,2024-01-18,Gym Workout,98,444,11466,74,5.6,1.1,4
LOG-501433,USR-2195,2024-01-18,Cycling,34,158,8179,95,5.2,1.8,5
LOG-500159,USR-2244,2024-01-18,HIIT,72,727,18720,139,5.1,0.7,1
LOG-502343,USR-2172,2024-01-19,Swimming,35,815,4026,167,6.4,1.0,4
LOG-502319,USR-2082,2024-01-19,Gym Workout,95,792,7277,116,7.3,0.6,1
LOG-500740,USR-2108,2024-01-19,Gym Workout,106,844,8403,81,7.2,1.1,4
LOG-503095,USR-2204,2024-01-19,Yoga,44,595,5559,137,7.4,0.6,1
LOG-500941,USR-2027,2024-01-19,Walking,95,869,9158,163,6.9,0.6,3
LOG-501756,USR-2133,2024-01-19,Cycling,44,97,1346,84,8.5,3.0,3
LOG-501186,USR-2084,2024-01-19,Swimming,59,894,8639,179,7.0,2.4,1
LOG-502308,USR-2172,2024-01-20,Yoga,46,539,1995,145,4.7,3.0,3
LOG-501470,USR-2291,2024-01-20,Gym Workout,77,262,13282,172,4.2,3.8,3
LOG-501298,USR-2290,2024-01-20,Yoga,76,669,1719,148,6.6,3.8,5
LOG-502625,USR-2062,2024-01-20,Running,80,477,13873,177,6.1,1.7,4
LOG-502076,USR-2180,2024-01-20,Running,48,248,18440,118,6.9,3.2,3
LOG-500666,USR-2206,2024-01-20,Swimming,13,205,14389,115,4.5,0.7,5
LOG-500719,USR-2184,2024-01-20,Yoga,13,805,1732,170,5.0,2.7,5
LOG-500272,USR-2180,2024-01-20,Running,101,498,18682,160,4.8,2.4,4
LOG-500574,USR-2186,2024-01-20,Gym Workout,20,248,3024,146,5.1,1.9,3
LOG-503021,USR-2264,2024-01-20,Yoga,76,507,10452,82,6.7,0.6,5
LOG-500120,USR-2193,2024-01-21,Gym Workout,44,687,1105,74,6.7,3.9,3
LOG-503290,USR-2180,2024-01-21,Cycling,37,671,11374,150,6.6,0.9,4
LOG-500803,USR-2158,2024-01-21,Running,107,87,2371,146,5.8,2.5,4
LOG-503072,USR-2027,2024-01-21,Running,68,206,9341,74,6.6,1.0,1
LOG-501154,USR-2138,2024-01-21,Running,51,136,4746,108,8.6,2.6,5
LOG-500950,USR-2295,2024-01-21,Cycling,119,191,10552,158,6.2,2.2,4
LOG-500530,USR-2002,2024-01-21,Gym Workout,20,321,13454,115,7.5,3.2,3
LOG-502045,USR-2211,2024-01-21,Gym Workout,42,202,12539,93,9.0,3.7,3
LOG-500983,USR-2001,2024-01-21,Yoga,64,139,3853,90,4.1,3.3,3
LOG-501202,USR-2074,2024-01-22,HIIT,98,188,5168,118,5.9,2.2,2
LOG-502039,USR-2083,2024-01-22,Swimming,111,486,8928,139,7.6,2.1,1
LOG-500176,USR-2205,2024-01-22,Running,102,102,5603,91,5.3,1.6,1
LOG-502538,USR-2161,2024-01-22,Yoga,57,683,19023,87,8.2,0.7,5
LOG-503191,USR-2061,2024-01-22,HIIT,112,72,6486,76,6.6,1.8,3
LOG-501675,USR-2045,2024-01-22,Swimming,61,519,6988,170,5.7,2.5,5
LOG-502530,USR-2254,2024-01-22,Swimming,86,546,9544,109,4.4,0.7,3
LOG-503074,USR-2197,2024-01-22,Cycling,59,790,4967,108,8.3,1.7,5
LOG-500825,USR-2242,2024-01-23,Yoga,119,608,19795,162,7.5,3.3,5
LOG-503147,USR-2201,2024-01-23,Gym Workout,113,340,3381,141,7.1,0.9,1
LOG-502305,USR-2122,2024-01-23,HIIT,94,79,16024,73,4.6,2.2,2
LOG-503164,USR-2113,2024-01-23,Yoga,20,633,2694,104,8.9,1.8,1
LOG-500591,USR-2147,2024-01-23,Gym Workout,119,76,3463,70,8.1,1.7,5
LOG-502815,USR-2116,2024-01-23,Running,68,765,2924,102,8.8,1.0,1
LOG-500047,USR-2287,2024-01-23,Swimming,31,552,15147,112,8.7,1.6,5
LOG-500015,USR-2282,2024-01-23,HIIT,51,890,7359,140,7.5,3.1,4
LOG-502021,USR-2066,2024-01-23,Gym Workout,30,686,13954,152,6.8,1.1,1
LOG-501042,USR-2297,2024-01-23,Walking,14,553,5891,163,8.6,2.9,3
LOG-502393,USR-2093,2024-01-24,Running,12,656,10362,90,7.8,2.2,2
LOG-502997,USR-2130,2024-01-24,Running,102,607,15188,167,4.1,2.6,3
LOG-500907,USR-2143,2024-01-24,Cycling,52,56,15595,160,4.2,0.9,2
LOG-501898,USR-2009,2024-01-24,Yoga,91,769,879,97,7.2,3.1,4
LOG-501311,USR-2225,2024-01-24,Swimming,20,620,2942,87,5.9,2.4,1
LOG-501172,USR-2139,2024-01-24,Gym Workout,106,534,11862,127,6.0,3.8,4
LOG-500301,USR-2251,2024-01-24,Gym Workout,62,857,8800,141,7.1,1.8,4
LOG-501135,USR-2071,2024-01-24,Gym Workout,11,870,7008,86,5.9,3.5,1
LOG-501894,USR-2096,2024-01-25,HIIT,62,524,4424,99,5.2,0.9,3
LOG-501725,USR-2257,2024-01-25,Cycling,13,565,7383,74,6.4,2.3,4
LOG-500102,USR-2024,2024-01-25,Running,77,240,18618,174,6.2,2.1,2
LOG-502622,USR-2076,2024-01-25,Running,76,810,6361,75,7.2,3.7,5
LOG-500667,USR-2161,2024-01-25,Walking,24,676,2720,143,6.0,2.7,5
LOG-500869,USR-2129,2024-01-25,HIIT,42,479,14702,152,4.5,2.7,4
LOG-500079,USR-2279,2024-01-25,HIIT,15,396,12720,178,8.0,0.9,1
LOG-501506,USR-2268,2024-01-25,HIIT,49,685,12431,94,8.5,3.3,3
LOG-503139,USR-2053,2024-01-25,Running,117,294,9580,161,7.2,2.5,3
LOG-501853,USR-2027,2024-01-25,Yoga,85,86,1259,89,6.7,1.4,2
LOG-503401,USR-2095,2024-01-26,Yoga,85,503,8788,88,7.0,3.4,4
LOG-500649,USR-2187,2024-01-26,Walking,70,869,8718,99,6.1,1.4,4
LOG-502812,USR-2232,2024-01-26,Gym Workout,71,272,4577,73,8.3,0.5,2
LOG-501369,USR-2156,2024-01-26,Walking,93,409,8816,114,6.1,2.0,2
LOG-502195,USR-2086,2024-01-26,Cycling,47,395,15223,92,6.7,1.0,1
LOG-500595,USR-2262,2024-01-26,HIIT,32,294,9847,128,7.8,2.6,4
LOG-501990,USR-2040,2024-01-26,Swimming,109,91,5873,121,6.9,3.4,1
LOG-500576,USR-2049,2024-01-26,Gym Workout,12,543,19360,127,5.5,2.5,2
LOG-502529,USR-2063,2024-01-27,Walking,60,497,3761,158,6.2,2.7,5
LOG-503158,USR-2032,2024-01-27,HIIT,52,790,12851,104,4.9,2.2,3
LOG-503265,USR-2298,2024-01-27,Gym Workout,45,540,9497,110,7.5,2.2,4
LOG-501744,USR-2054,2024-01-27,Swimming,110,805,6948,127,4.5,3.2,1
LOG-502860,USR-2294,2024-01-27,Walking,116,527,8750,148,8.8,3.5,3
LOG-501887,USR-2171,2024-01-27,Running,45,229,3669,143,5.0,0.7,4
LOG-500613,USR-2020,2024-01-27,Gym Workout,34,587,4509,170,5.2,2.7,5
LOG-500362,USR-2049,2024-01-27,Cycling,62,668,10067,173,7.7,2.0,3
LOG-501603,USR-2205,2024-01-27,Running,13,238,3691,87,8.2,2.4,5
LOG-500049,USR-2192,2024-01-28,Running,90,122,6110,73,4.0,3.0,2
LOG-501379,USR-2221,2024-01-28,HIIT,50,713,18368,97,8.3,0.7,2
LOG-500235,USR-2279,2024-01-28,HIIT,105,148,9870,106,4.4,2.5,2
LOG-501428,USR-2197,2024-01-28,Walking,28,389,12508,123,7.6,3.0,4
LOG-502286,USR-2230,2024-01-28,HIIT,103,636,6429,177,7.8,1.6,1
LOG-503010,USR-2073,2024-01-28,Gym Workout,81,322,19524,172,4.6,3.7,2
LOG-501344,USR-2185,2024-01-28,Gym Workout,51,521,10456,168,5.9,1.7,3
LOG-501332,USR-2205,2024-01-28,Yoga,95,383,16662,72,6.4,1.1,3
LOG-502569,USR-2052,2024-01-28,Swimming,103,72,12402,104,5.6,0.8,1
LOG-501612,USR-2148,2024-01-28,HIIT,11,724,1134,76,6.6,3.5,3
LOG-500773,USR-2159,2024-01-29,Cycling,32,422,826,113,6.5,1.6,1
LOG-503377,USR-2277,2024-01-29,Walking,27,400,1629,144,9.0,3.3,1
LOG-502568,USR-2085,2024-01-29,Swimming,65,716,16941,109,7.0,3.4,3
LOG-502003,USR-2010,2024-01-29,Swimming,99,407,5412,96,4.1,0.8,4
LOG-500729,USR-2206,2024-01-29,Cycling,100,648,18235,142,6.8,4.0,5
LOG-501683,USR-2263,2024-01-29,HIIT,77,587,4337,74,4.6,2.3,1
LOG-503067,USR-2227,2024-01-29,HIIT,59,571,7995,75,6.5,2.8,2
LOG-500906,USR-2046,2024-01-29,Yoga,104,226,3040,105,6.5,3.9,5
LOG-501771,USR-2156,2024-01-29,HIIT,101,822,12129,133,7.1,2.4,2
LOG-500754,USR-2022,2024-01-29,Yoga,74,58,4004,156,6.1,1.0,4
LOG-501103,USR-2180,2024-01-30,Swimming,78,67,4884,129,8.8,1.2,5
LOG-501263,USR-2244,2024-01-30,HIIT,49,372,17992,166,8.7,0.6,4
LOG-502668,USR-2105,2024-01-30,Walking,48,188,16256,148,7.5,3.5,2
LOG-502036,USR-2008,2024-01-30,Swimming,64,588,5859,104,6.3,1.7,4
LOG-501304,USR-2079,2024-01-30,Cycling,71,711,5839,154,8.7,3.0,5
LOG-501436,USR-2206,2024-01-30,Swimming,73,53,2348,91,4.8,1.8,1
LOG-503438,USR-2207,2024-01-30,Running,27,149,14636,153,4.6,3.8,3
LOG-502348,USR-2001,2024-01-30,Running,89,627,5028,103,5.8,1.4,1
LOG-503108,USR-2005,2024-01-30,HIIT,112,509,8936,149,4.6,1.9,1
LOG-503024,USR-2213,2024-01-30,Swimming,47,272,8209,102,5.1,1.3,4
LOG-500117,USR-2213,2024-01-30,Walking,32,85,19150,110,4.6,3.2,4
LOG-502408,USR-2265,2024-01-30,HIIT,81,217,7686,82,6.2,2.3,2
LOG-502312,USR-2251,2024-01-30,Yoga,43,248,19226,75,7.3,2.7,4
LOG-502303,USR-2283,2024-01-30,Cycling,38,232,9533,176,7.4,3.3,5
LOG-501161,USR-2017,2024-01-30,Walking,108,220,8562,142,4.1,0.9,1
LOG-503267,USR-2060,2024-01-30,Swimming,102,361,2470,126,6.6,1.2,3
LOG-502347,USR-2153,2024-01-31,Yoga,70,335,6826,172,8.8,2.2,1
LOG-501562,USR-2257,2024-01-31,Swimming,111,327,15470,141,6.6,3.6,3
LOG-503249,USR-2124,2024-01-31,Walking,11,821,2609,144,8.1,3.3,3
LOG-501479,USR-2082,2024-01-31,Yoga,90,435,18839,102,7.6,2.1,3
LOG-500160,USR-2010,2024-01-31,Yoga,51,123,17161,90,5.3,4.0,1
LOG-502828,USR-2252,2024-01-31,Yoga,105,808,10882,138,8.2,3.0,2
LOG-500604,USR-2154,2024-01-31,Running,88,534,19937,116,8.3,3.6,1
LOG-502391,USR-2021,2024-01-31,HIIT,92,844,9462,117,7.8,1.6,5
LOG-500743,USR-2039,2024-01-31,Running,70,437,19634,123,5.6,2.5,3
LOG-501210,USR-2287,2024-02-01,Swimming,71,511,4451,87,7.1,0.9,2
LOG-502099,USR-2112,2024-02-01,Gym Workout,59,782,11590,174,7.9,1.4,4
LOG-501204,USR-2235,2024-02-01,Gym Workout,64,159,2270,112,5.5,2.2,1
LOG-501320,USR-2202,2024-02-01,Swimming,17,439,15362,177,8.4,0.8,4
LOG-501116,USR-2252,2024-02-01,Swimming,82,337,10860,79,6.1,2.2,3
LOG-502192,USR-2282,2024-02-01,Running,34,687,14481,153,7.3,1.4,3
LOG-502827,USR-2117,2024-02-01,Walking,29,244,11332,167,5.0,0.8,4
LOG-501544,USR-2290,2024-02-01,HIIT,47,253,12879,117,7.1,2.4,1
LOG-500957,USR-2123,2024-02-01,HIIT,100,214,2558,70,4.2,2.2,5
LOG-501651,USR-2215,2024-02-01,Swimming,53,56,17358,82,7.6,3.9,2
LOG-502253,USR-2096,2024-02-01,Walking,83,268,19523,139,6.2,0.5,4
